tree_model	omitted_family	families_available	genomes	orders	observed_spearman_rho	permutation_p_two_sided	null_q025	null_q975	holm_p_leave_one_family
ModelFinder	none	6	304	32	0.1913875415975897	0.0471952804719528	0.06891729238464474	0.20102343832775316	
ModelFinder	soxa	5	304	32	0.18859314655944076	0.052894710528947106	0.07145665522827048	0.20106395172017372	0.2244775522447755
ModelFinder	soxb	5	290	28	0.15621169995158712	0.0816918308169183	0.03203117473585621	0.17615251519561484	0.2244775522447755
ModelFinder	soxc	5	302	32	0.16312203404466166	0.0746925307469253	0.04771974233719911	0.18110153985929564	0.2244775522447755
ModelFinder	soxx	5	304	32	0.19919311217353194	0.018598140185981403	0.06446402581985734	0.19496306424743598	0.11158884111588842
ModelFinder	soxy	5	304	32	0.18911057856668126	0.0448955104489551	0.06469371846693048	0.19720924399520579	0.2244775522447755
ModelFinder	soxz	5	304	32	0.17511086121539152	0.10668933106689331	0.06579755805870556	0.1993630785552109	0.2244775522447755
ModelFinder	family_only:soxa	1	242	26	0.13632037579834852	0.16748325167483252	0.018567775324257817	0.17126618247929865	
ModelFinder	family_only:soxb	1	299	32	0.10705720477979876	0.21387861213878612	0.007841777953319702	0.14556370033450855	
ModelFinder	family_only:soxc	1	215	16	-0.052189218060071964	0.7972202779722027	-0.12335633359653374	0.06167816679826687	
ModelFinder	family_only:soxx	1	243	25	0.11733494079234534	0.5661433856614339	0.042476669851441586	0.20379642138966578	
ModelFinder	family_only:soxy	1	245	26	0.07784114039280371	0.7192280771922808	0.01912210352943175	0.18098365172693173	
ModelFinder	family_only:soxz	1	209	26	0.10594205268367696	0.196980301969803	-0.007431771579373401	0.14508561137669573	
